Title (abbreviated),Number
"Marsyas (A Publication by the Students of the Institute of Fine Arts, New York University)",1523
Maske und Kothurn,1524
Materialy Archeologiczne,1525
Matianum,1526
Meander,1527
Meddelelser fra Ny Carlsberg Glyptotek,1528
"Mededelingen van de koninklijke Nederlandse Academie van Wetenschappen, Afdeling Letterkunde N.R., XIX",1530
Mediterraneus,1531
Memnonia,1532
Mémoires de l'Académie internationale de Droit comparé,1533
"Mémoires de la Société Nationale des Antiquaires de France, 8e série",1534
Mémoires. Bulletin de la Société francophone d'Histoire de l'Ophtalmologie,1535
Memoirs of the American Academy of Arts and Sciences,1536
Méroé,1538
Meroitic Newsletter,1539
Messana,1540
"Metallo e scrittura. Sinergia di due poteri. Roma, Università ""La Sapienza"", Dipartimento di Scienze storiche, archeologiche e antropologiche dell'Antichità",1541
Méthexis,1542
Mètis,1543
Michigan Alumnus Quarterly Review,1547
Millennium. Jahrbuch zu Kultur und Geschichte des ersten Jahrtausends n.Chr.,1550
Minerva,1551
Minima Epigraphica et papyrologica,1552
Miscelânea em honra da Doutora Maria Helena da Rocha Pereira.,1553
Miscellanea Academica Berolinensia (Ges. Abhand. zur Feier d.,1554
Miscellanea Biblica,1555
Miscellanea G.,1557
Miscellanea Gregoriana. Raccolta di scritti pubblicata nel I centenario dalla fondazione del Pontificio Museo Egizio,1558
Mistica Rosa. Rivista bimestrale per gli alunni ed ex alunni dei Fratelli Maristi (Roma),1559
Mitteilungen DAV,1560
Mitteilungen der Archäologischen Gesellschaft Graz,1561
Mitteilungen der Sudanarchäologischen Gesellschaft zu Berlin e.V.,1563
Mitteilungen des Oberhessischen Geschichtsvereins,1564
Mitteilungen für Anthropologie und Religionsgeschichte,1565
Mizraim,1567
Mneme Georges A. Petropoulos,1568
Mnemosyne,1569
"Mnesmosyne, 3. ser.",1570
Mnemosyne 4e s. Mnemosyne IV° S.,1571
Mnemosyne 4e s. Mnemosyne IV° S.,1571
Mnemosyne 4a s.,1572
Modern Language Notes,1573
Mousaion,1574
Mouseion (Canada),1575
Mouseion ser. III,1576
Münch. Theolog. Zeitschrift,1578
Muse,1579
Muséon,1580
Musica e storia,1581
Musiva et Sectilia,1582
Muthos. Rivista di storia delle religioni [Università degli Studi di Palermo],1583
Myrtia,1584
Nachrichten der Giessener Hochschulgesellschaft,1585
Nag Hammadi Studies,1586
Narody Azii i Afriki,1587
Naturwissenschaften,1588
Nauka Polska,1589
"Nauka Polska, jej Potrzeby, Organizacja i Rozwoj [La science polonaise. Ses besoins, son organisation et ses progrès]",1590
Navires et commerces de la,1591
Nea Hestia,1592
Nederl. Kath. Stemmen,1593
Nederlands Theologisch Tijdschrift,1594
Neon Athenaion,1595
Neophilologus,1596
Neotestamentica,1597
Neptunia,1598
Neue Deutsche Hefte,1599
Neue Rundschau,1600
Nieuw Tijdschrift van de Vrije Universiteit Brussel,1601
Nikephoros,1602
Nilus,1603
North Carolina Museum of Art,1605
Not. Chiostro Monastero maggiore,1606
Notizie dal Chiostro del Monastero Maggiore. Rassegna di Studi del Civico Museo Archeologico e del Civico Gabinetto Numismatico di Milano,1608
Nottingham Classical Literature Studies,1609
Nova Tellus,1610
Nubica,1611
Nubica et Aethiopica [antérieurement: Nubica],1612
Numen,1613
Numisma,1614
Numismatica,1615
Numismatics International,1616
Numizmaticar,1617
Nuova Antologia,1618
Nuovo Digesto Italiano,1619
Oberammergauer Vorträge (Gräfelfing vor München: Arbeitsgemeinschaft der Verlagshersteller),1620
Ocnus,1621
Oikumene,1622
Omaggio a,1623
Omnibus,1624
Onoma,1625
Opus,1626
Orbis,1627
Ord och bild,1628
Oriens,1629
Oriens Antiquus,1630
Orient,1631
Orient [The Society for Near Eastern Studies in Japan],1632
Orient-Press [Roma],1633
Orientalia,1634
Orientalia N.S.,1635
Orientalia Suecana,1636
Orientamenti culturali,1637
Orpheus,1638
Orpheus N.S.,1639
Osiris,1640
Österreichische Lehrerzeitung,1641
Österreichische Zeitschrift für öffentliches Recht,1642
Ostraka,1643
Paideia,1644
"Palaeologia (Osaka, Japon)",1645
Palaestra Latina,1646
Palamedes,1647
Palenstinskij Sbornik,1648
Palestinskij Sbornik,1649
Palestinskij Sbornik v y Pusk,1650
Palestra del Clero,1651
Pallas,1652
Pan,1653
Panstwo i Prawo,1654
Pantheon,1655
Papiro e mondo antico,1656
Papyri,1657
Papyrologica,1658
Parnassos,1659
Parole di Vita,1660
Parousia,1661
Patavium,1662
Pegaso,1663
Pharmazie,1664
Philologum,1665
Philologus,1666
Philologus N.F.,1667
Phoenix,1669
Phronesis,1671
Physis,1672
Poetica,1674
Polemon,1675
Polifemo,1676
Polis,1677
Polis. Studi interdisciplinari sul mondo antico [Università degli Studi Mediterranea di Reggio Calabria],1678
Polska Akademia Nauk. Sprawozdania z prac naukowych wydzialu nauk spolecznych,1680
Pompeiana. Biblioteca della Parola del Passato,1681
Population (Paris),1682
Pour la Science,1683
Prace historyczne,1684
Prace i Materialy Muzeum Archeologicznego i Etnograficznego w Lodzi. Seria numizmatyczna i konserwatorska,1685
Prace Komisji Historii Sztuki,1686
Pragmateiai tes Akademias Athenon,1687
Právné-historické studie,1688
Pravoslavnyy Palestinskiy sbornik,1690
Pravoslavyj Palestinskij Sbornik,1691
Préfaces,1692
Princeton University Library Chronicle,1693
Pro Arte,1694
Problemui Istorii dokapitalistichestkikh Obshchestv,1695
Problemy,1696
Proceed. of the American Philosophical Society,1697
Proceedings of the American Academy for Jewish Research,1698
Proceedings of the Royal Society of Historical Studies,1699
Programma zasedanij i tezisy dokladov konferencii po problemam anticnosti. Moskva,1700
Prolegomena,1701
Prometheus,1702
Prominenten kijken om. Achttien rechtsgeleerden uit de Lage Landen over,1703
Prospettiva,1704
Protokolle zur Bibel,1705
Prudentia,1706
Przeglad biblijny,1707
Przeglad Humanistyczny,1709
Przeglad Kulturalny,1710
Publications of the Observatory of the University of Michigan,1711
Pyrenae,1712
Qadmoniot,1713
"Quaderni del Dipartimento di Filologia, Linguistica e Tradizione classica",1715
Quaderni del Liceo Capece,1716
Quaderni di Acme,1717
Quaderni ticinesi di numismatica e antichità classiche,1718
Quaderno,1719
Quarterly Review of Literature,1720
Rabels Zeitschrift für ausländisches und internationales Privatrecht,1721
Raccolta di scritti dedicati a Orsolina Montevecchi.,1722
Ramus,1723
Rass. Soc. Afr. Ital.,1724
Réalités ophtalmologiques,1725
Record of the Art Museum Princeton University,1726
Recueil d'études dédiées à,1727
Relationes Budvicenses,1728
Religion in Life,1729
Renaissance,1730
"Rendiconti dell'Istituto Lombardo, Cl. di lettere",1731
Research and Progress,1732
Restaurator,1733
Restauratorenblätter,1734
Rev. gen. de legislación y jurisprudencia,1735
Revista Catalana de Teologia,1736
Revista crítica de derecho immobiliario Nos,1737
Revista del Instituto de Historia Antigua Orient.,1738
Revue archéologique du Centre,1739
Revue d'Alsace,1741
Revue de l'histoire juive en Égypte,1742
Revue de la Banque,1743
Revue de la Bibliothèque Nationale,1744
Revue de la Société Ernest Renan n.s.,1745
"Revue de Philologie, 3e série",1746
Revue des ...tudes Augustiniennes,1747
Revue des Conférences françaises en Orient,1748
Revue des études juives. Historia judaica,1749
Revue des sciences économiques (Liège),1750
Revue des sciences religieuses,1751
Revue du Nord,1752
Revue européenne des sciences sociales et Cahiers Vilfredo Pareto,1753
Revue historique de Bordeaux et du département de la Gironde,1754
Revue internationale de Pédiatrie,1755
Revue Médicale de Liège,1756
Revue Roumaine d'Égyptologie,1757
Revue thomiste,1758
Revue. Informatique et statistique dans les sciences humaines,1759
Ricerche di Egittologia e di Antichità Copte,1760
Rivista di Bizantinistica,1761
Rivista di diritto agrario,1762
Rivista di diritto privato,1763
Rivista di Merceologia,1764
Rivista italiana per le Scienze giuridiche ser. III,1766
Rivista trim. di diritto e proced. civile,1767
Rivisti di Diritto Agrario,1768
Rocznik Muzeum Narodowego,1769
Rocznik Muzeum Narodowego w Warszawie,1770
Rocznik Muzeum Narodowego w Warszawie [Annuaire du Musée National de Varsovie],1771
Roczniki Humanistyczne (Lublin),1772
Roma,1773
Romance Philology,1774
Romanistik in Geschichte und Gegenwart,1775
Romanitas,1776
Römisches Glas des,1777
Römisches Porträt. Wege zur Erforschung eines gesellschaftlichen Phänomens. Wissenschaftliche Konferenz,1778
Rotunda,1779
Ruch Biblijny i Liturgiczny (Cracovie),1781
Rudiae,1782
Rudolfinum. Jahrbuch des Landesmuseums Kärnten,1783
Saeculum,1784
Sahara,1785
Sal Terrae (Santander),1786
Samtichen,1787
Samtidem,1788
San. Journal of the Society for Ancient Numismatics,1789
Sandalion,1790
Sarapis,1791
"Savigny-Zeitschrift, Röm. Abt.",1792
Sbornik Gosud. Ermitaz. Skul'ptura v muzee,1793
Schol(i)a,1794
Scholia,1795
Schweizer Beitr. z. allg. Gesch.,1796
Schweizer Beiträge zur Allgemeinen Geschichte,1797
Schweizer Münzblätter,1798
Science and Society,1799
"Science and Technology for Cultural Heritage. Journal of the ""Comitato Nazionale per la Scienza e la Tecnologia dei Beni Culturali"", CNR",1800
Science et Esprit,1801
Scientia,1802
Scientific American,1803
Scientific Monthly,1804
Scienza e Tecnica,1805
"Scienze dell'Antichità. Storia, archeologia, antropologia [Università degli Studi di Roma ""La Sapienza""]",1806
Scienze e Tecnica,1807
Scolastik,1808
Scriba,1809
Scriptorium,1810
Scritti in onore di Lombardo Ferrini pubblicati in occasione della sua Beatificazione. I,1811
Scuda Cattolica,1812
Sefarad,1813
Segno e Testo,1814
Segno e Testo. International Journal of Manuscripts and Text Transmission [Università degli Studi di Cassino],1815
Seiyoshigaku [Studies in Western History],1816
Semeia,1817
Seminar,1818
Seminar. An Annual Extraordinary Number of the Jurist,1820
Seminarium Kondakovianum,1821
Semitica,1822
"Septuagint and Cognate Studies (Missoula, Mont.)",1823
Serapis,1824
Palaeohispanica,1825
"Sibrium. Centro di Studi Preistorici ed Archeologici, Varese",1826
Sicilia antiqua,1827
Siegener Hochschulblätter,1828
Sileno,1829
Smithsonian,1830
Society of Biblical Literature. Seminar Papers Series.,1831
Soobscenija gosudarstvennogo Ermitaza [Communications du Musée d'État de l'Ermitage],1832
Speculum,1833
Spektrum,1834
Spiegel der Forschung. Justus-Liebig-Universität Giessen,1835
Spiegel Historiael,1836
Spomenika Profesoru,1837
Sprache,1838
Sprawozdania Polsk. Akad. Um.,1839
Sprawozdania Polskiej Akademii Umiejetnosci,1840
Sprawozdania Poznanskiego Towarzystwa Przyjaciót Nauk,1842
Sprawozdania Wroclawskiego Towarzystwa Nauk,1843
Sprawozdania z czynnosci i poseidzen Polskiej Akad. Umiej,1844
Sprawozdania z Prac Naukowych Wydzialu Nauk Spolecznych,1845
Stadion,1846
Stasinos. Deltio tou Sundesmou Hellen Philol. Kuprou (Leucosia),1847
Stlt N.S.,1848
Storia dell'Arte,1849
Studi di Egittologia e di Antichità puniche,1850
Studi e Ricerche sull'Oriente cristiano,1851
Studi Economici-giuridici della Reale Università di Cagliari,1852
Studi epigrafici e linguistici sul Vicino Oriente,1853
Studi Senesi,1855
Studi Trentini di Scienze storiche,1856
Studi vari,1857
Studia Aegyptiaca,1858
Studia Antiqua,1859
Studia Archeologiczne,1860
Studia Archeologiczne. Uniwersytet Warszawski. Instytut archeologii,1861
Studia Ghisleriana. Ser. I. Studi giuridici,1862
Studia Hellenistica,1863
Studia philologica Valentina,1864
Studien,1865
Studien zur Altägyptischen Kultur,1866
Studies in Conservation,1867
Studii Teologice (Bucarest),1868
Studium Generale (Porto),1869
Stultifera Navis,1870
Subseciva Groningana. Studies in Roman and Byzantine Law,1871
Sudan & Nubia,1872
Sudan Texts Bulletin,1873
Sungraphe,1874
Suomen Museo,1875
"Supplément au Dictionnaire de la Bible de F. Vigouroux, fasc.",1876
Symb. Osl.,1877
Symbolae Arminio de Gerkan sexagenario,1878
Symbolae Hrozny.,1879
Symbolae Raphaeli Taubenschlag,1880
Symbolae Raphaeli Taubenschlag dedicatae.,1881
Synthesis (La Plata),1882
Syria,1883
Syro-Egypt,1884
Sztandar Mlodych,1885
Talanta,1886
Technical Association of Man-Made Fiber Paper,1887
Technical Studies in the Field of the Fine Arts,1888
"Technologia. Quarterly Review devoted to Historical and Social Studies in Science, Technology and Industry",1889
Temas bíblicos,1890
Temis. Revista de ciencia y técnica jurídicas,1891
Tempo Nuovo,1892
Text. Transactions of the Society for Textual Scholarship,1893
Textile History,1894
Textile Museum Journal,1895
Textilforum,1896
Thalès,1897
The Anvil,1898
The Arbitration Journal. A Quarterly of the American Arbitration Association,1899
The Artefact,1900
The Bible Translator,1901
The Brooklyn Museum Annual,1902
The Cambridge Journal,1903
The Canadian Journal of Economics and Political Science,1904
The Catholic Biblical Quarterly,1905
The Celator,1906
The Church Quarterly Review,1907
The Economic History Review,1908
The Egyptian Bulletin,1909
The Hibbert Journal,1911
The Indian Archives,1912
The Journal of Hellenic Studies,1913
The Journal of Jewish Studies,1914
The Journal of the Society for the Study of Egyptian Antiquities,1915
The Jurist,1916
The Kyoto Journal of Ancient History,1917
The Library,1918
The Library Quarterly,1919
The Link,1920
"The Listener, May",1921
The Maynooth Review,1922
The Michigan Quarterly Review,1923
The Polish Review,1924
The Polish Review (New York),1925
The Princeton Seminary Bulletin,1926
The Qumran Chronicle,1927
The Review of the Polish Academy of Sciences,1928
The University of Leeds Review,1929
The University of Toronto Quarterly,1930
Thetis,1932
Thetis. Mannheimer Beiträge zur Klassischen Archäologie und Geschichte Griechenlands und Zyperns,1933
Thought. A Quarterly of the Sciences and Letters,1934
Tijdschrift voor Theologie,1935
"Tod, Bestattung und Jenseits in",1936
Topoi,1937
Trabajos de Egiptología. Papers on Ancient Egypt,1938
Traditio,1939
Transactions Bibliograph. Society,1940
Transactions of the Connecticut Academy of Arts and Sciences,1941
Transeuphratène,1942
Trends in Classics,1943
Trierer Beiträge,1944
Trierer Theologische Zeitschrift,1945
Trudy Tiflisskogo gosudarstvennogo universiteta,1946
Tulane Law Review,1947
Turun Historiallisen Yhdistyksen julkaisuja,1948
Tyche,1949
Tydskrif vir wetenskap en kuns N.R.,1950
Tyndale Bulletin,1951
Ucenye zapiski Gor'kovskogo Gosudarstvennogo Universiteta. Serija,1952
Ucenye zapiski Jaroslavskogo gosudarstvennogo ped. Instituta fasc.,1953
Uitzicht,1954
Unijournal. Zeitschrift der Universität Trier. Themenheft.,1955
Universitas,1956
Université Libre de Bruxelles. Faculté de Droit. Travaux et Conférences,1957
University of California Publications in Classical Philology,1958
University of California Publications in Semitic Philology X,1959
University of Toronto Quarterly,1960
Universum,1961
Varia Aegyptologica,1962
Vedute sull'Egitto antico. Annuario,1963
Veleia,1964
Verbatim,1965
Vereniging van Vrienden Allard Pierson Museum Amsterdam. Mededelingenblad,1966
Vergleich und Analogieschluss in,1967
Veritas (Pôrto Alegre),1968
Vichiana,1969
Vichiana N.S.,1970
Vistas in Astronomy,1972
Vita e Pensiero N.S.,1973
Vivre et Penser,1974
Vizantijskij Vremennik,1975
Volume offert au Professeur Justin,1976
Volumen Homenaje al Rev. P.D. Benito,1977
Vspomogatel'nye istoriceskie discipliny,1978
Wetenschappelijke Tijdingen,1980
Wiadomosci Numizmatyczne,1982
Wiadomosci Numizmatyczne - Polish Numismatic News,1983
Widnokregi No.,1984
Wiedza i zycie,1985
"William M. CALDER III et Jaap MANSFELD (Entretiens préparés et présidés par), Hermann Diels",1986
Wissenschaftliche Annalen,1987
Wissenschaftliche Konferenz,1988
Xenia Antiqua,1989
Yale Review,1990
Year Book of the American Philosophical Society,1991
Zagadnienia rodzajów literackich,1992
"Zbornik radova Vizantološkog instituta [Recueil des travaux de l’Institut d’études byzantines, Belgrade]",1993
"Zeitschr. f, Geschichtswiss.",1994
Zeitschrift für altorientalische und biblische Rechtsgeschichte,1995
Zeitschrift für mathematischen und naturwissenschaftlichen Unterricht,1997
Zeitschrift für Neues Testament,1998
Zeitschrift für Semitistik,1999
Zeitschrift von Schweizerischen Recht,2000
Zeitwende,2001
Zentralblatt für Psychotherapie und ihre Grenzgebiete,2002
"Zeszyty naukowe Uniwersytetu Wroclawskiego Seria A, Nr.",2003
Zetesis,2004
Zion,2005
Zycie szkoly wyzszej,2006
Il Diritto marittimo,2007
The Picus,2008
Acta Poloniae historica,2009
Agostino Soldati PP,2010
American Journal of Comparative Law,2011
Anabases,2012
Analecta Malacitana (Málaga),2013
Analecta Sacra Tarraconensia,2014
Ancient Society. Resources for Teachers,2015
Andrews University Seminary Studies,2016
Annali della Fondazione italiana per la storia amministrativa,2017
Archivo teológico Granadino,2022
Bernard Boyaval REA,2023
Bulletin de l'Association des Classiques de l'Université de Liège,2024
Bulletin des Bibliothèques de France. Bulletin de documentation bibliographique,2026
Bullettino dell'Istituto di Diritto Romano 'Vittorio Scialoja',2027
Bullettino dell'Istituto di Diritto Romano 'Vittorio Scialoja' 3a ser.,2028
Bullettino dell'Istituto di Diritto Romano 'Vittorio Scialoja' 3e s.,2029
Bullettino dell'Istituto di Diritto Romano,2030
Bullettino dell'Istituto di Diritto Romano 3e s.,2031
Bullettino dell'Istituto di Diritto Romano 3a s.,2032
Cahiers d'Histoire,2033
Classical Weekly,2034
Collationes (Gand),2035
Columbia Law Review,2036
Confrontations (Tournai),2037
Die Welt des Orients,2038
Eiskasmos,2039
Ellenika,2040
Erasmus,2041
Euphrosyne N.S.,2045
Euphrosyne,2046
Exemplaria Classica,2047
Forum der Letteren,2048
Galesianum,2049
Graecolatina et Orientalia,2050
Gregorianum,2051
Hellenica,2052
Historische Literatur,2053
International Journal of African Historical Studies,2054
Jewish Studies Quarterly,2055
Journal of Australasian Universities Language and Literature Association,2056
Journal of Semitic Studies,2057
Kirjath Sepher,2058
Kratylos,2059
Laudate,2061
Libraries & Culture,2062
Litterae Caelestes,2063
Medioevo greco,2064
Minima Epigraphica et Papyrologica,2066
Mouseion,2067
Museum,2069
Nieuwe Theologische Studiën,2070
Ordia prima,2071
Paedagogica Historica. International Journal of the History of Education,2072
Papyrologica Lupiensia,2073
Philologia (Sofia),2074
Platôn,2075
Primum legere,2077
Przeglad Historyczny,2078
Religio,2079
Rendiconti dell'Istituto Lombardo. Parte Generale e Atti Ufficiali,2080
Rhetoric Society Quarterly,2081
Revista Española de teologia,2082
Revolutionary History,2083
Revue Bénédictine,2084
Revue d'ascétique et de mystique,2085
Rivista di Egittologia e di Antichità Copte,2088
Salesianum,2090
Scholastik,2092
Signs,2093
Sobornost,2094
Studi medievali,2095
Studi medievali 3a s.,2096
Studia historica. Historia antigua [Universidad de Salamanca],2097
Südost-Forschungen,2098
Svensk teologisk kvartal Skrift,2099
The Classical Weekly,2100
The Irish Jurist N.S.,2101
Theologia,2102
Vetera Christianorum,2103
Zeitschrift für Religions- und Geistesgeschichte,2106
ARAM,2107
BollClass N.S.,2110
Bulletin de la Société d'Archéologie Copte,2111
Bulletin de la Société d'Études historiques et géographiques de l'Isthme de Suez,2112
Bulletin de la Société Royale de Géographie d'Égypte,2113
Dacia N.S.,2116
Eunomia (Ephemeridis Listy Filologické Supplementum),2117
ONOMA,2120
TAPHA,2123
Main Titulo,2124
Atti della Accademia Roveretana degli Agiati,2125
Bollettino della Badia greca di Grottaferrata,2127
Bulletin de la Société Neuchâteloise de Géographie,2128
Das Antiquariat,2129
Didactica Classica Gandensia,2130
Hephaistos,2131
Journal of Ancient Egyptian Interconnections,2132
Journal of Biosocial Science,2133
Journal of Late Antiquity,2134
Meroitica,2135
Philologia antiqua,2136
Phoibos,2137
Pro Memorie. Bijdragen tot de rechtsgeschiedenis der Nederlanden,2138
Revue de l'Occident Musulman et de la Méditerranée,2139
Revue de Qumran,2140
Riggisberger Berichte,2141
Roczniki Teologiczno-Kanoniczne,2142
Rocznyk Muzeum Narodorvego w Warszawie,2143
Schweizerisches Archiv für Volkskunde,2144
Scripta Hierosolymitana,2145
Slovenska Akademija znanosti in umetnosti. Razred za filoloske in literarne vede. Razprave,2146
Studi tardoantichi,2147
Studies in Ancient Art and Civilization,2148
Théologie historique,2149
Zboenik Pravnog Fakulteta u Zagrebu,2150
Μήνη,2151
Νέα Ῥώμη. Rivista di ricerche bizantinistiche,2152
Acta facultatis politico-iuridicae universitatis scientiarum Budapestinensis de Rolando Eötvös nominatae,2153
Acta Universitatis Lodziensis. Folio Iuridica,2154
Annali di Storia delle Università Italiane,2155
Annali di Storia moderna e contemporanea,2156
Ateliers,2157
Berichte und Arbeiten aus der Universitätsbibliothek Giessen,2158
Bibliotheksforum Bayern,2159
Droit et Cultures. Revue semestrielle d'anthropologie et d'histoire,2160
Eretz-Israel,2161
Historical Social Research,2162
Literary & Linguistic Computing,2164
The Oriental Institute of the University of Chicago. Studies in Ancient Oriental Civilization,2165
Dictynna,2168
British Museum Studies in Ancient Egypt and Sudan,2169
Japan Studies in Classical Antiquity,2170
Lucida Intervalla,2171
Aestimatio,2172
Mediterranean Archaeology and Archaeometry,2173
Revue des études tardo-antiques,2174
Lanx,2175
Ηπειρωτικά Γράμματα,2176
Journal of Indian Ocean Archaeology,2177
ENiM,2178
Dresdner Numismatische Hefte,2179
The Classical and Medieval Numismatic Society Journal,2180
Fundamina. A Journal of Legal History [Pretoria],2181
Quaderni della Soprintendenza Archeologica del Piemonte,2182
Mètis N.S.,2183
Aitia,2184
Ágora,2186
aMun. Magazin für die Freunde der Ägyptischen Museen,2188
Byzantion Nea Hellás,2189
CentoPagine,2190
Disciplina,2191
Eruditio Antiqua,2192
Faculty of Tourism and Hotels Magazine,2193
Geomorphology,2194
História Revista,2195
Historiká. Studi di storia greca e romana,2196
"Il Maurolico. Giornale di storia, scienze, lettere e arti",2197
Iura Orientalia,2198
Journal of Ancient Near Eastern Religions,2199
Journal of the Canadian Society for Coptic Studies / Journal de la société canadienne pour les études coptes,2200
Mare Nostrum. Estudos sobre o Mediterrâneo Antigo,2201
Méditerranée. Revue géographique des pays méditerranéens,2202
MOSAIKjournal,2203
Notícia Bibliográfica e Histórica,2204
"Oracula. Revista de Estudos de Apocalíptica, Misticismo e Fenômenos Visionarios",2205
Revista de História,2206
Revista do Museu de Arqueologia e Etnologia,2207
Scripta,2208
Semitica et Classica,2210
Studia Antiqua et Archaeologica,2211
Studia Liturgica,2212
Revista de Estudos Filosóficos e Históricos da Antiguidade,2213
Journal of Egyptian History,2215
Early Christianity,2216
eTopoi. Journal for Ancient Studies. Special Volume.,2217
AeR N.S.,2218
ZAL,2219
Dionysus ex machina,2220
El Futuro del Pasado,2221
PalArch's Journal of Archaeology of Egypt / Egyptology,2222
ExClass,2223
Alétheia,2224
Eugesta. Revue sur le genre dans l'Antiquité,2225
Roman Legal Tradition,2226
Studia Iuridica,2227
U Schyłku Starożytności. Studia Źródłoznawcze,2228
Past Imperfect,2229
Mainake,2230
Materia Giudaica,2231
Tetradio,2232
Vegetation History and Archaeobotany,2233
Revista de Estudios Históricos-Juridicos,2234
Histos,2235
Radiocarbon,2236
Conserveries matérielles. Revue transdisciplinaire de jeunes chercheurs,2237
Aigis,2238
"AJA, Online Book Reviews",2240
AHB Online Reviews,2241
AnnIsl,2242
Annuaire de l'École Pratique des Hautes Études. Section des Sciences religieuses,2243
ArchPF. Beiheft,2244
BEFAR,2245
Bollettino di Archeologia On Line,2246
BAR International Series,2247
BCH. Supplément,2248
BAssBude,2249
Bulletin of the History of Archaeology,2252
Byzantinische Forschungen,2253
CENiM,2254
"Cahiers ""Mondes anciens""",2255
Camenae,2256
Camenulae,2257
Classical Studies (Kyoto),2258
Classics@: An Online Journal,2259
Dacia,2260
Didaskalia,2261
Digressus,2262
Dossiers d'Archéologie,2263
ECA,2264
EClas,2265
Etudes,2266
Ferrovissime,2267
Goettinger Miszellen,2268
Histara,2269
Historia Religionum,2270
Historika ?,2271
Ítaca,2273
JMuench,2274
JANER?,2275
Kyphi,2276
Levant,2277
Littera Antiqua,2278
M.P.E.R.,2279
Mitteilungen der Sudanarchaeologischen Gesellschaft zu Berlin e.V. (Der antike Sudan),2280
ὅρμος,2281
Plekos,2282
Plêthos,2283
Polish Archaeology in the Mediterranean,2284
Pomoerium,2285
Res Antiquae,2286
Revue des études militaires anciennes,2287
RoemQSchr,2288
SBMuench,2289
SAOC,2291
Vergilius,2292
Bryn Mawr Classical Review,2293
«Abhandl. Königl. Preuss. Akad. Wiss.» philos.-hist. Kl.,2294
Jahrbücher für classische Philologie,2295
Studi filologici e storici,2296
Bulletin de l'Académie Impériale des Sciences de St. Pétersbourg,2297
Classici e Neolatini,2298
Giornale degli Scavi di Pompei,2299
Il Pensiero,2300
Lexicon Philosophicum,2301
Museo italiano di antichità classiche,2302
Museum Philologum Londiniense,2303
Nachrichten von der Gesellschaft der Wissenschaften zu Göttingen,2304
Studi Classici e Orientali,2305
Журнал Министерства народного просвещения (Žurnal Ministerstva narodnogo prosveščenija),2306
The Law Quarterly Review,2307
RD,2308
Seminarios Complutenses de derecho romano,2309
Rotulus,2310
Transactions of the Royal Irish Academy,2311
Electrum,2312
Eleutheria,2313
Journal of the Royal Asiatic Society,2314
Religious Studies Review,2315
Sehepunkte,2316
Early Medieval Europe,2317
Proceedings of the Society of Biblical Archaeology,2318
Scripta Biblica et Orientalia,2319
Cistercian Studies Quarterly,2320
Coptica,2321
Critical Sociology,2322
Der Islam,2323
Dotawo. A Journal of Nubian Studies,2324
Eastern Christian Art,2325
Ekklesiastikos Pharos,2326
Electryone,2327
Incontri di filologia classica,2328
Informes y trabajos,2329
International Journal of Paleopathology,2330
Islamic Law and Society,2331
Israel Numismatic Research,2332
Journal of Agrarian Change,2333
Journal of Ancient History,2334
Journal of Ancient Indian History,2335
Médiévales,2336
Mediterranean Language Review,2337
Mnemon,2338
Nowy Filomata,2339
Olba,2340
Przegląd Religioznawczy,2341
Revista Alétheia,2342
Revista Numismática Hécate,2343
Revue historique de Dunkerque et du littoral,2344
Rivista di diritto ellenico,2345
Studia Orientalia Electronica,2346
Światowit. Annual of the Institute of Archaeology of the University of Warsaw,2347
"Truppendienst. Zeitschrift für Ausbildung, Führung und Einsatz im Österreichischen Bundesheer",2348
Papyrotheke. Rivista online di Papirologie dell'Università di Parma,2349
Romanitas. Revista de Estudos Grecolatinos,2350
Antiguo Oriente. Cuadernos del Centro de Estudios de Historia del Antiguo Oriente,2351
Arabica,2352
Archaeological Review from Cambridge,2353
Archai. Revista sobre as origens do pensamento ocidental,2354
Architecture and Modern Information Technologies,2355
Arkeoloji Dergisi,2356
Cahiers Caribéens d'Égyptologie,2357
Gephyra. Journal for the Ancient History and Cultures of the Eastern Mediterranean,2358
Greek and Roman Musical Studies,2359
"Systasis. E-journal of the Association of Classical Philologists ""Antika""",2360
Anabasis. Studia Classica et Orientalia,2361
CHS Research Bulletin,2362
BABELAO,2363
Archimède. Archéologie et histoire ancienne,2364
Biblica et Patristica Thoruniensia,2365
Atti del Sodalizio Glottologico Milanese,2366
Annuaire de la Société Française de Numismatique et d'Archéologie,2367
Musica Disciplina,2368
Archiv für Bibliographie,2369
Archivum Mentis,2370
Polygraphia,2371
Sciamus,2372
Sitzungsberichte der Königlich Preußischen Akademie der Wissenschaften zu Berlin,2373
Pylon,2374
Epigraphica Anatolica,2376
Manuscripta,2377
Cuneiform Digital Library Bulletin,2378
Baghdader Mitteilungen,2379
Oxoniensia,2380
Journal of Raman Spectroscopy,2381
Manuscript Cultures,2382
Archaeological and Anthropological Sciences,2383
Gazette du livre médiéval,2384
Heritage Science,2385
Chemické listy,2386
Ulster Journal of Archaeology,2387
Droit et Cultures. Revue internationale interdisciplinaire,2388
Journal of Greek Linguistics,2389
Journal of the General Union of Arab Archaeologists,2390
Amtliche Berichte aus den Königlichen Kunstsammlungen,2391
IWNW,2392
Classical Papers,2393
Eastern Theological Journal,2394
Vjesnik Arheološkog muzeja u Zagrebu,2395
