Title (abbreviated),Number
SEP,454
SicGymn,455
SMEA,456
SMSR,457
SNR,458
SP,459
SPAW,460
SPFB (klas),461
StClas,462
STh,463
StIt,464
StMisc,465
StPap,466
StRom,467
StudUrb (Ser. B),468
SyllClass,469
SymbOslo,470
TAPA,471
TAPS,472
TG,473
ThB,474
ThJ,475
ThLZ,476
ThQ,477
ThRev,478
ThS,479
ThZ,480
TravMém,481
TRG,482
U&F,483
UgaritF,484
VDI,485
VerbDom,486
VigChr,487
VSG,488
WB,489
WG,490
WHB,491
WorldArch,492
WS,493
WürzJbb,494
WZBerlin,495
WZHalle,496
WZKM,497
WZLeipzig,498
YCS,499
ZAC,500
ZÄS,501
ZATW,502
ZBB,503
ZDMG,504
ZDPV,505
ZivaAnt,506
ZKG,507
ZKTh,508
ZNTW,509
ZÖstG,510
ZPE,511
ZPhF,512
ZSav,513
ZVRW,514
ZVS,515
ZWTh,516
CRAI,617
RIL,751
Varia Aeg.,894
Aberdeen University Review,900
Acme,901
Acta Byzantina Fennica N.S.,902
Acta Ethnographica Academiae Scientiarum Hungaricae,903
Acta Hyperborea,904
Acta Juridica Academiae Scientiarum Hungaricae,905
Acta Musicologica,906
Acta Orientalia,907
Acta Philologica Aenipontana,908
"Acta Universitatis Latviensis, Filol. un Filos. Fakultates [Riga], ser. IV",909
Actes du VIIIe Congrès international des sciences historiques. Section II,910
Adamantius,911
Aegyptus,912
Aegytus,913
Aevum(ant) N.S.,914
Africana Bulletin,915
Agon,916
Ägypten in,917
Ägypten und Levante,918
Akademie-Journal,919
Akroterion,920
Al Qanoun Wal Iqtisad,921
Al Quanoun wal Iqtisad,922
Alba Regia,923
Alexandrie entre deux,924
"Alexandrie, le dernier",925
"Alexandrie, lumière du",926
Alfinge,927
"Alif. Journal of Comparative Poetics [American University in Cairo, Department of English and Comparative Literature]",928
Almanach Akademie Wien,929
Almanach der Österreichischen Akademie der Wissenschaften,930
Almanach der Österreichischen Akademie der Wissenschaften in Wien,931
Altertum,932
Alumni. Revue du Cercle des Alumni [Bruxelles],933
Alumni. Revue du Cercle des Alumni de la Fondation Universitaire (Bruxelles),934
Ambrosius,935
American Anthropologist,936
American Mathematical Monthly,937
American Scholar,938
American Sociological Review,939
American University Law Review,940
Amour de l'Art,941
Ampurias,942
Anabases. Traditions et réception de l'Antiquité,943
Anabases. Traditions et réception de l'Antiquité. Revue de l'équipe de recherche E.R.A.S.M.E. - Université de Toulouse-Le Mirail,944
Anagennesis,945
Analecta Gregoriana,946
Analecta. Publication annuelle de l'Institut d'études orientales de la Bibliothèque patriarcale d'Alexandrie,947
"Analele Univ. Bucuresti, Ser. St. Soc.",948
Analele Universitatii Bucuresti. Seria Stiinte Sociale-Juridice,949
Analele Universitatii din Bucuresti. Seria Stiinte Sociale. Filologie,950
Anali della scuola normale superiore di Pisa (ASNP),951
Analytical Chemistry,952
Anatolia Antiqua,953
Anazetesis,954
Ancient Civilizations from Scythia to Siberia,955
Ancient Society [Macquarie University],956
Ancient West & East,957
Andalus,958
Anemos,959
Ankara Universitesi Hukuk Fakültesi Dergisi [Revue de la Faculté de Droit de l'Université d'Ankara],960
Annales de la Faculté de Droit d'Istanbul,961
Annales de la Faculté de Droit de l'Université de Bordeaux. Série juridique,962
Annales de la Faculté de Droit et des Sciences économiques de Toulouse,963
"Annales du Centre Universitaire Méditerranéen, Nice",964
Annales Islamologiques,965
"Annales Universitatis Saraviensis, Philosoph. Fakultät",966
Annali del Liceo Classico 'Dettori' di Cagliari,967
"Annali del Pontificio Istituto Superiore di Scienze e Lettere ""S. Chiara""",968
"Annali dell'Istituto Superiore di Scienze e Lettere ""S. Chiara"" di Napoli",969
Annali della Facoltà de Giurisprudenza dell'Università di Camerino,970
Annali della Facoltà di Giurisprudenza dell'Università di Bari,971
Annali della Facoltà di Giurisprudenza dell'Università di Bari N.S.,972
Annali della Facoltà Giuridica (Università degli Studi di Camerino),973
"Annali della R. Scuola Normale Superiore di Pisa, Ser. II",974
Annali di Scienze religiose,975
Annali di Scienze Religiose (Università Cattolica del Sacro Cuore),976
Annali di storia del diritto,977
"Annals of the Faculty of Arts, Ain Shams University",978
"Annals of the Faculty of Arts, Ibrahim Pasha University [Ain Shams University, Cairo]",979
Annotazioni numismatiche ser.,980
Annuaire de l'École Pratique des Hautes Études. Section des Sciences historiques et philologiques,981
Annuaire du Musée National de,982
Annuario di diritto internazionale,983
Anthropologischer Anzeiger,984
Anthropozoologica,985
Antichthon,986
Antik Tanulmányok,987
